timestamp,metric,container,pod,value
1618000786,cpu,teastore-webui,teastore-webui-549df75b4-nsbsr,57.75915328663892
1618000796,cpu,teastore-webui,teastore-webui-549df75b4-nsbsr,71.10529110193949
1618000756,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,68.55696705034754
1618000766,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,85.85779784990066
1618000776,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,60.159813275905215
1618000786,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,54.128341008771926
1618000796,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,60.59622469098088
1618000806,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,99.79671246700822
1618000816,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,99.73421423050097
1618000836,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,61.61362986270022
1618000846,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,61.61362986270022
1618000856,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,61.61362986270022
1618000866,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,44.559900006272215
1618000876,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,44.559900006272215
1618000886,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,44.559900006272215
1618000896,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,34.826188235314845
1618000906,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,34.826188235314845
1618000916,cpu,teastore-webui,teastore-webui-549df75b4-qzf7v,34.826188235314845
1618000616,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,33.705082698421194
1618000626,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,50.216638313442154
1618000636,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,37.228648666666665
1618000646,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,37.228648666666665
1618000656,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,97.91999240204059
1618000666,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,97.91999240204059
1618000686,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,99.71986796872625
1618000696,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,99.71986796872625
1618000706,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,99.71986796872625
1618000716,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,98.5441358320224
1618000726,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,98.5441358320224
1618000736,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,98.5441358320224
1618000746,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,86.28410961744486
1618000756,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,86.28410961744486
1618000766,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,76.01679531581873
1618000776,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,63.27861687532156
1618000786,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,63.27861687532156
1618000796,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,39.59975844057623
1618000806,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,30.140075684801847
1618000816,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,30.140075684801847
1618000836,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,34.04529604606744
1618000846,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,34.04529604606744
1618000856,cpu,teastore-webui,teastore-webui-594b54c9c8-76nqp,34.04529604606744
1618000496,cpu,teastore-webui,teastore-webui-594b54c9c8-f6xqr,47.85078482591911
1618000506,cpu,teastore-webui,teastore-webui-594b54c9c8-f6xqr,84.96793544272207
1618000516,cpu,teastore-webui,teastore-webui-594b54c9c8-f6xqr,84.96793544272205
1618000526,cpu,teastore-webui,teastore-webui-594b54c9c8-f6xqr,84.96793544272205
