,timestamp,container_cpu_cfs_throttled_seconds_total,kube_deployment_spec_replicas,kube_pod_container_resource_limits_cpu_cores,kube_pod_container_resource_limits_memory_bytes,kube_pod_container_resource_requests_cpu_cores,kube_pod_container_resource_requests_memory_bytes
0,0.0,,1.0,500.0,500.0,0.5,524288000.0
1,0.1394,160.8424756,,,,,
2,0.5,,2.0,500.0,500.0,0.5,524288000.0
3,0.5451000021333333,15.9181897,,,,,
4,0.7324,176.6621314,,,,,
5,1.0,,2.0,500.0,500.0,0.5,524288000.0
6,1.0340666624,62.8654226,,,,,
7,1.2479166634666667,194.4941841,,,,,
8,1.4882666666666666,120.2697708,,,,,
9,1.5,,2.0,500.0,500.0,0.5,524288000.0
10,1.6701833301333333,198.5935541,,,,,
11,2.0,,2.0,500.0,500.0,0.5,524288000.0
12,2.1063833301333332,200.7871671,,,,,
13,2.1258500010666666,167.8185982,,,,,
14,2.5,,2.0,500.0,500.0,0.5,524288000.0
15,2.6118499968,215.1032166,,,,,
16,2.7009333333333334,194.9469925,,,,,
17,3.0,,2.0,500.0,500.0,0.5,524288000.0
18,3.1410166656,226.0785665,,,,,
19,3.2304666666666666,207.609484,,,,,
20,3.5,,2.0,500.0,500.0,0.5,524288000.0
21,3.6168999978666667,228.7202187,,,,,
22,3.6821166677333332,214.6046468,,,,,
23,4.0,,2.0,500.0,500.0,0.5,524288000.0
24,4.165266666666667,231.2115438,,,,,
25,4.261683332266666,221.2667488,,,,,
26,4.5,,2.0,500.0,500.0,0.5,524288000.0
27,4.749083332266666,224.0081444,,,,,
28,4.786183330133333,234.5748972,,,,,
29,5.0,,2.0,500.0,500.0,0.5,524288000.0
30,5.0540166656,235.2221745,,,,,
31,5.257783330133333,225.0668387,,,,,
32,5.4798,228.7628565,,,,,
33,5.5,,2.0,500.0,500.0,0.5,524288000.0
34,5.626316663466667,236.6397345,,,,,
35,6.0,,2.0,500.0,500.0,0.5,524288000.0
36,6.0382333312,233.1286402,,,,,
37,6.136933333333333,236.8941283,,,,,
38,6.5,,2.0,500.0,500.0,0.5,524288000.0
39,6.6372,234.4575828,,,,,
40,6.792383330133333,237.1135562,,,,,
41,7.0,,2.0,500.0,500.0,0.5,524288000.0
42,7.051516667733333,236.0262476,,,,,
43,7.237533333333333,238.3049492,,,,,
44,7.5,,2.0,500.0,500.0,0.5,524288000.0
45,7.607333333333333,238.4085156,,,,,
46,7.665949998933334,236.7442128,,,,,
47,8.0,,2.0,500.0,500.0,0.5,524288000.0
48,8.063533333333334,238.6847775,,,,,
49,8.194966664533334,237.0745818,,,,,
50,8.5,,2.0,500.0,500.0,0.5,524288000.0
51,8.581549998933333,238.8788836,,,,,
52,8.720916667733333,237.6774901,,,,,
53,9.0,,2.0,500.0,500.0,0.5,524288000.0
54,9.264083332266667,239.0524726,,,,,
55,9.2720333312,237.8934864,,,,,
56,9.5,,2.0,500.0,500.0,0.5,524288000.0
57,9.747916663466667,239.0524726,,,,,
58,9.790650001066666,238.2572619,,,,,
