timestamp,metric,container,pod,value
1618004082,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,77.97838794275542
1618004092,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,87.89598887554516
1618004102,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,92.00428986478937
1618004112,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,73.89758979034406
1618004122,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,97.89921367676403
1618004132,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,63.33100132749865
1618004142,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,97.59740089335568
1618004152,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,97.59740089335568
1618004162,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,62.029199577714564
1618004172,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,97.94728533884792
1618004182,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,97.94728533884792
1618004192,cpu,teastore-webui,teastore-webui-594b54c9c8-7v255,62.72625775837602
1618004062,cpu,teastore-webui,teastore-webui-594b54c9c8-9hs88,54.82009409990355
1618004072,cpu,teastore-webui,teastore-webui-594b54c9c8-9hs88,71.36176362095713
1618004082,cpu,teastore-webui,teastore-webui-594b54c9c8-9hs88,68.24614016666668
1618004092,cpu,teastore-webui,teastore-webui-594b54c9c8-9hs88,63.05105462992384
1618004102,cpu,teastore-webui,teastore-webui-594b54c9c8-9hs88,46.50938510887027
1618003992,cpu,teastore-webui,teastore-webui-594b54c9c8-g7b8j,94.44555227157572
1618004002,cpu,teastore-webui,teastore-webui-594b54c9c8-g7b8j,94.44555227157572
1618004012,cpu,teastore-webui,teastore-webui-594b54c9c8-g7b8j,96.56954581373472
1618004022,cpu,teastore-webui,teastore-webui-594b54c9c8-g7b8j,98.27675626145388
1618004032,cpu,teastore-webui,teastore-webui-594b54c9c8-g7b8j,98.27675626145388
1618004052,cpu,teastore-webui,teastore-webui-594b54c9c8-g7b8j,84.87531350322453
1618004062,cpu,teastore-webui,teastore-webui-594b54c9c8-g7b8j,84.87531350322453
1618004082,cpu,teastore-webui,teastore-webui-594b54c9c8-g7b8j,73.63076978134053
