,timestamp,container_cpu_cfs_throttled_seconds_total,kube_deployment_spec_replicas,kube_pod_container_resource_limits_cpu_cores,kube_pod_container_resource_limits_memory_bytes,kube_pod_container_resource_requests_cpu_cores,kube_pod_container_resource_requests_memory_bytes
0,0.0,,1.0,500.0,500.0,0.5,524288000.0
1,0.12769999786666666,140.0250588,,,,,
2,0.5,,2.0,500.0,500.0,0.5,524288000.0
3,0.5236833322666666,0.0,,,,,
4,0.6379499989333334,163.1743163,,,,,
5,1.0,,2.0,500.0,500.0,0.5,524288000.0
6,1.1180833322666666,55.6615947,,,,,
7,1.2565499989333333,171.8919004,,,,,
8,1.5,,1.0,500.0,500.0,0.5,524288000.0
9,1.6571000021333333,174.6500537,,,,,
10,1.7065999957333333,113.3760741,,,,,
11,2.0,,1.0,500.0,500.0,0.5,524288000.0
12,2.2941166677333333,215.0037857,,,,,
13,2.5,,2.0,500.0,500.0,0.5,524288000.0
14,2.5354333312,0.0,,,,,
15,2.6539499989333333,241.4829805,,,,,
16,3.0,,2.0,500.0,500.0,0.5,524288000.0
17,3.1236333312,57.0968956,,,,,
18,3.1661666645333333,253.3262447,,,,,
19,3.5,,3.0,500.0,500.0,0.5,524288000.0
20,3.5604666666666667,0.0,,,,,
21,3.6795833344,129.4058268,,,,,
22,3.7605000021333335,256.1805478,,,,,
23,4.0,,3.0,500.0,500.0,0.5,524288000.0
24,4.071300002133333,39.0313701,,,,,
25,4.199783330133333,258.198231,,,,,
26,4.211333333333333,195.5556289,,,,,
27,4.5,,4.0,500.0,500.0,0.5,524288000.0
28,4.5880666624,261.0980305,,,,,
29,4.588116663466667,0.0,,,,,
30,4.742733333333334,224.6530377,,,,,
31,4.779116663466667,110.442568,,,,,
32,4.987033335466666,261.7519828,,,,,
33,5.0,,4.0,500.0,500.0,0.5,524288000.0
34,5.044566664533333,139.5707633,,,,,
35,5.259733333333333,40.9907522,,,,,
36,5.278199995733333,234.1836132,,,,,
37,5.5,,2.0,500.0,500.0,0.5,524288000.0
38,5.573149998933333,238.3834762,,,,,
39,5.588466666666666,186.3303901,,,,,
40,5.685699997866666,267.1733812,,,,,
41,5.7874666624,77.1357836,,,,,
42,6.0,,2.0,500.0,500.0,0.5,524288000.0
43,6.069716667733333,248.3146675,,,,,
44,6.1553166634666665,268.512349,,,,,
45,6.5,,2.0,500.0,500.0,0.5,524288000.0
46,6.6194,269.0748613,,,,,
47,6.704533333333333,257.3895145,,,,,
48,7.0,,2.0,500.0,500.0,0.5,524288000.0
49,7.1132166656,269.5749974,,,,,
50,7.2005666645333335,267.8743705,,,,,
51,7.5,,2.0,500.0,500.0,0.5,524288000.0
52,7.628299997866667,270.025938,,,,,
53,7.693299997866666,271.5083331,,,,,
54,8.0,,2.0,500.0,500.0,0.5,524288000.0
55,8.039666666666667,270.3119288,,,,,
56,8.170583330133333,280.2947006,,,,,
57,8.5,,2.0,500.0,500.0,0.5,524288000.0
58,8.646533333333334,270.7307132,,,,,
59,8.6681833344,284.9402683,,,,,
60,9.0,,2.0,500.0,500.0,0.5,524288000.0
61,9.121349998933333,285.1069064,,,,,
62,9.2419666688,270.8868029,,,,,
63,9.5,,2.0,500.0,500.0,0.5,524288000.0
64,9.541783330133333,285.3420437,,,,,
65,9.559466666666667,271.0215855,,,,,
