timestamp,metric,container,pod,value
1617874923,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,89.98833314493582
1617874933,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,99.62563533816771
1617874943,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,99.62563533816771
1617874953,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,99.80685231374775
1617874963,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,99.80685231374775
1617874973,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,99.80685231374775
1617874993,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,99.73227280005275
1617875003,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,99.73227280005275
1617875013,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,62.61385792562232
1617875023,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,100.02613191520797
1617875033,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,100.02613191520797
1617875043,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,81.3870980248123
1617875053,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,65.4815729430599
1617875063,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,65.4815729430599
1617875083,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,46.80175324022907
1617875093,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,46.80175324022907
1617875103,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,15.018471493140021
1617875113,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,22.075977549111343
1617875123,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,22.075977549111343
1617875133,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,29.14056565507576
1617875143,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,36.002816850216206
1617875153,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,36.002816850216206
1617875163,cpu,teastore-webui,teastore-webui-58fd67c7fb-6fjp6,26.62222406327322
