timestamp,metric,container,pod,value
1617871928,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,63.94920763987372
1617871938,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,79.98305382356277
1617871948,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,96.01690000725182
1617871958,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,87.30809199413852
1617871968,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,87.30809199413852
1617871978,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,87.30809199413852
1617871988,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,87.90716837777921
1617871998,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,87.90716837777921
1617872008,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,87.90716837777921
1617872018,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,52.81037846851315
1617872028,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,72.62236476194465
1617872038,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,53.346573595005495
1617872048,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,62.65772407300425
1617872058,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,62.65772407300425
1617872068,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,62.65772407300425
1617872078,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,30.81045540727777
1617872088,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,30.81045540727777
1617872098,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,30.81045540727777
1617872108,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,23.306652944018172
1617872118,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,32.79701619778344
1617872128,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,32.79701619778344
1617872138,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,23.609906286939914
1617872148,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,23.609906286939907
1617872158,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,23.609906286939907
1617872168,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,30.201961093585673
1617872178,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,30.201961093585673
1617872188,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,30.201961093585673
1617872198,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,19.759453701590196
1617872208,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,19.759453701590196
1617872218,cpu,teastore-webui,teastore-webui-79c85c8ff8-czv79,19.759453701590196
1617871828,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,20.174681412123487
1617871838,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,28.95263901857039
1617871848,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,28.95263901857039
1617871858,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,64.69704876180752
1617871868,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,92.49573285730133
1617871878,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,92.49573285730133
1617871898,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,68.03265532032655
1617871908,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,68.03265532032655
1617871918,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,11.309534796664988
1617871928,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,14.981461678699073
1617871938,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,16.80567495369361
1617871948,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,30.6663806176646
1617871958,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,36.28585157501331
1617871968,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,36.28585157501331
1617871978,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,24.618764475720205
1617871988,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,24.618764475720205
1617871998,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,24.618764475720205
1617872018,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,38.03855473677224
1617872028,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,38.03855473677224
1617872048,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,27.324492854629508
1617872058,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,38.88638823727827
1617872068,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,26.78073152577823
1617872078,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,30.018783880367295
1617872088,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,30.018783880367295
1617872098,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,30.018783880367295
1617872108,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,38.51462419226846
1617872118,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,38.51462419226846
1617872128,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,30.55547742846742
1617872138,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,11.254862711972262
1617872148,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,11.477988459317237
1617872158,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,8.880482669503772
1617872168,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,24.961096044572393
1617872178,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,24.961096044572393
1617872198,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,32.85923627791113
1617872208,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,32.85923627791113
1617872218,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,32.85923627791113
1617872228,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,43.000695299320654
1617872238,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,43.000695299320654
1617872248,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,43.000695299320654
1617872258,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,64.1041583103536
1617872268,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,64.1041583103536
1617872278,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,64.1041583103536
1617872288,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,36.12771615023742
1617872298,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,36.12771615023742
1617872308,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,36.12771615023742
1617872318,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,33.27275995689823
1617872328,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,33.272759956898234
1617872338,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,33.272759956898234
1617872348,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,16.374415613903242
1617872358,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,22.58592006331627
1617872368,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,22.58592006331627
1617872378,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,23.600367424107322
1617872388,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,23.600367424107322
1617872398,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,23.600367424107322
1617872408,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,33.45290888037052
1617872418,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,33.45290888037052
1617872428,cpu,teastore-webui,teastore-webui-79c85c8ff8-tlxdt,33.45290888037052
1617872048,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,64.4377196890112
1617872058,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,81.11305196461566
1617872068,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,97.78838424022015
1617872078,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,87.2180008835874
1617872088,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,87.2180008835874
1617872098,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,87.2180008835874
1617872108,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,92.48510831244522
1617872118,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,92.48510831244522
1617872128,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,80.83991738377271
1617872138,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,27.222753333333337
1617872148,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,27.222753333333337
1617872158,cpu,teastore-webui,teastore-webui-79c85c8ff8-v7fgn,27.824998180110256
1617871908,memory,,teastore-webui-79c85c8ff8-czv79,18.66
1617871918,memory,,teastore-webui-79c85c8ff8-czv79,37.61
1617871928,memory,,teastore-webui-79c85c8ff8-czv79,42.12
1617871938,memory,,teastore-webui-79c85c8ff8-czv79,42.12
1617871948,memory,,teastore-webui-79c85c8ff8-czv79,60.49
1617871958,memory,,teastore-webui-79c85c8ff8-czv79,64.05
1617871968,memory,,teastore-webui-79c85c8ff8-czv79,64.05
1617871978,memory,,teastore-webui-79c85c8ff8-czv79,72.98
1617871988,memory,,teastore-webui-79c85c8ff8-czv79,72.98
1617871998,memory,,teastore-webui-79c85c8ff8-czv79,72.98
1617872008,memory,,teastore-webui-79c85c8ff8-czv79,76.08
1617872018,memory,,teastore-webui-79c85c8ff8-czv79,76.08
1617872028,memory,,teastore-webui-79c85c8ff8-czv79,76.08
1617872038,memory,,teastore-webui-79c85c8ff8-czv79,76.08
1617872048,memory,,teastore-webui-79c85c8ff8-czv79,81.67
1617872058,memory,,teastore-webui-79c85c8ff8-czv79,81.67
1617872068,memory,,teastore-webui-79c85c8ff8-czv79,81.67
1617872078,memory,,teastore-webui-79c85c8ff8-czv79,81.67
1617872088,memory,,teastore-webui-79c85c8ff8-czv79,84.08
1617872098,memory,,teastore-webui-79c85c8ff8-czv79,84.08
1617872108,memory,,teastore-webui-79c85c8ff8-czv79,85.28
1617872118,memory,,teastore-webui-79c85c8ff8-czv79,85.28
1617872128,memory,,teastore-webui-79c85c8ff8-czv79,85.49
1617872138,memory,,teastore-webui-79c85c8ff8-czv79,85.49
1617872148,memory,,teastore-webui-79c85c8ff8-czv79,85.49
1617872158,memory,,teastore-webui-79c85c8ff8-czv79,85.49
1617872168,memory,,teastore-webui-79c85c8ff8-czv79,85.73
1617872178,memory,,teastore-webui-79c85c8ff8-czv79,85.73
1617872188,memory,,teastore-webui-79c85c8ff8-czv79,85.73
1617872198,memory,,teastore-webui-79c85c8ff8-czv79,85.73
1617872208,memory,,teastore-webui-79c85c8ff8-czv79,85.73
1617872218,memory,,teastore-webui-79c85c8ff8-czv79,85.73
1617872228,memory,,teastore-webui-79c85c8ff8-czv79,83.65
1617871828,memory,,teastore-webui-79c85c8ff8-tlxdt,51.03
1617871838,memory,,teastore-webui-79c85c8ff8-tlxdt,60.98
1617871848,memory,,teastore-webui-79c85c8ff8-tlxdt,60.98
1617871858,memory,,teastore-webui-79c85c8ff8-tlxdt,67.4
1617871868,memory,,teastore-webui-79c85c8ff8-tlxdt,70.06
1617871878,memory,,teastore-webui-79c85c8ff8-tlxdt,70.06
1617871888,memory,,teastore-webui-79c85c8ff8-tlxdt,70.06
1617871898,memory,,teastore-webui-79c85c8ff8-tlxdt,77.97
