Iteration,pod,Unnamed: 0,run,Unnamed: 0.1,index,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
1,webui,0.0,1.5,0.0,6.0,128.92062937062937,276.31693594833337,19.5,35.767302603284534,37.60815789473684,500.0,1000.0,1.0,946.8467449243301
2,webui,1.0,1.5,1.0,13.0,145.37867132867132,195.01464816166668,19.5,34.790079547171366,37.351578947368424,500.0,1000.0,2.0,656.6754450895924
3,webui,2.0,1.5,2.0,20.0,177.9474323386537,269.2264112401515,38.5,36.19121077181096,39.25723684210526,500.0,1000.0,3.0,514.6311941397155
4,webui,3.0,1.5,3.0,27.0,206.93041237113403,268.68611789097224,57.5,29.543763087426925,38.62157894736843,500.0,1200.0,1.0,473.2029763074589
5,webui,4.0,1.5,4.0,34.0,145.10174825174826,216.7750383133333,19.5,35.310923426750065,31.39763157894737,500.0,1200.0,2.0,698.6633248986188
6,webui,5.0,1.5,5.0,41.0,175.54636363636365,274.46604349583333,38.5,35.061401440297175,32.76447368421053,500.0,1200.0,3.0,534.8509588991278
7,webui,6.0,1.5,6.0,48.0,208.9339906947235,276.33012499555554,57.5,28.448933730235055,33.03912280701752,500.0,1400.0,1.0,484.95823199903464
8,webui,7.0,1.5,7.0,55.0,145.37867132867132,213.13141924166666,19.5,33.77094558498793,28.407894736842103,500.0,1400.0,2.0,773.7813026300703
9,webui,8.0,1.5,8.0,62.0,177.85594405594406,283.54148311166665,38.5,35.64854656694543,29.264868421052636,500.0,1400.0,3.0,548.9532702591723
10,webui,9.0,1.5,9.0,69.0,208.5220735962779,277.83461858444434,57.5,29.001599668501086,29.04868421052631,700.0,1000.0,1.0,492.9374747832682
11,webui,10.0,1.5,10.0,76.0,145.37867132867132,155.79708172166667,19.5,33.13744264800097,38.15526315789474,700.0,1000.0,2.0,536.6577264866092
12,webui,11.0,1.5,11.0,83.0,170.70229007633588,426.9768594454546,38.5,39.77883922853603,39.05276315789473,700.0,1000.0,3.0,683.3289472332483
13,webui,12.0,1.5,12.0,90.0,175.34615384615384,175.04927235833333,38.5,31.618087502595444,38.20197368421053,700.0,1200.0,1.0,462.719437633692
14,webui,13.0,1.5,13.0,97.0,209.7996289424861,154.71127192777777,57.5,23.743668895431675,38.679473684210535,700.0,1200.0,2.0,451.5380983329709
15,webui,14.0,1.5,14.0,104.0,144.36363636363637,168.45925663333333,19.5,34.18972020827884,32.455,700.0,1200.0,3.0,547.6292749382056
16,webui,15.0,1.5,15.0,111.0,176.55944055944056,185.44413514166666,38.5,31.26524941260707,33.34868421052632,700.0,1400.0,1.0,469.4885797292124
17,webui,16.0,1.5,16.0,118.0,209.7996289424861,156.86608,57.5,22.69908117921304,32.765350877192986,700.0,1400.0,2.0,450.55882311145047
18,webui,17.0,1.5,17.0,125.0,144.36363636363637,159.97731310833333,19.5,33.244780281058205,28.462894736842102,700.0,1400.0,3.0,541.2880636130549
19,webui,18.0,1.5,18.0,132.0,177.77272727272728,191.39581882916667,38.5,30.501125408924956,29.21105263157896,900.0,1000.0,1.0,467.6690031746891
20,webui,19.0,1.5,19.0,139.0,208.8265306122449,167.8409973638889,57.5,23.4993060961569,29.033859649122803,900.0,1000.0,2.0,451.03556534445977
21,webui,20.0,1.5,20.0,146.0,205.9035532994924,465.10686692941175,57.5,38.85146069511005,38.94324561403509,900.0,1000.0,3.0,596.9903560444213
22,webui,21.0,1.5,21.0,153.0,145.98461538461538,281.79087351,19.5,39.70570401325493,31.61394736842105,900.0,1200.0,1.0,936.3629043806385
23,webui,22.0,1.5,22.0,160.0,176.6450088079859,424.543935015909,38.5,41.21588649372728,33.394999999999996,900.0,1200.0,2.0,685.9441509066123
24,webui,23.0,1.5,23.0,167.0,206.712920984456,461.69856631562493,57.5,37.13450036213268,33.499561403508764,900.0,1200.0,3.0,576.8518123171034
25,webui,24.0,1.5,24.0,174.0,145.37867132867132,258.744029915,19.5,38.99045901891799,27.310789473684217,900.0,1400.0,1.0,956.7814753947946
26,webui,25.0,1.5,25.0,181.0,176.91761363636363,403.27573509833337,38.5,40.03463401984732,28.795394736842105,900.0,1400.0,2.0,684.771371550963
27,webui,26.0,1.5,26.0,188.0,208.81757672379433,457.03556569784314,57.5,37.21964429472991,28.704122807017555,900.0,1400.0,3.0,556.262896458978
