Iteration,pod,Unnamed: 0,run,Unnamed: 0.1,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
1,webui,0,8,0,208.87885185,55.69309874376611,12669.642197802195,1568.0136150614092,76.00857142857144,3459.8355732238683,7.314282875999972,300.0,400.0,1.0,10.0,-0.3285714285714285,1852.481520100736,69.29080430596375,95.75073061224492
2,webui,1,8,1,246.77953825,57.52072291102536,6804.854321188221,400.71138533164464,81.40142857142857,4080.247727468378,8.771428571428572,300.0,400.0,2.0,10.0,-0.1228571428571427,449.9416412438181,57.65659129607825,92.98941428571428
3,webui,2,8,2,269.3521458666667,45.25556576255126,4722.499999999998,111.50630010880438,84.90333333333335,2651.08338478788,10.914370054429416,300.0,400.0,3.0,10.0,0.0857377939611671,91.75327480817984,39.93142032992554,77.53200681600408
4,webui,3,8,3,278.818292425,35.212797580949584,4092.6504614352057,78.34724828808696,84.43107142857143,2209.3557146224693,10.785707147571358,300.0,400.0,4.0,10.0,0.0785707147571358,74.08983033689665,29.68035139596116,76.92881469737637
5,webui,4,8,4,284.59688302,30.807746294513287,3461.0817360268816,69.18708964850745,84.84714285714284,1796.191676205977,12.11431286900027,300.0,400.0,5.0,10.0,0.1257168608284857,57.91447633998656,24.89263658961487,73.19677469387757
6,webui,5,8,5,176.6726173,73.08658438212565,14268.262460072803,1568.0136150614092,65.56857142857142,4009.6321868298087,8.883946728006132,300.0,450.0,1.0,10.0,-0.1799999999999998,1706.5188668544124,90.05565611487133,76.20608571428569
7,webui,6,8,6,237.7206866,55.81821324953954,6589.044111444111,246.92388425246767,73.08357142857145,3652.766967188648,9.4857557307147,300.0,450.0,2.0,10.0,-0.0928645699431541,255.4727462564972,58.18343022114199,78.00656374516866
8,webui,7,8,7,259.7371808333333,43.60756863797876,3906.876454557226,116.58997089855936,74.7352380952381,2455.006316915684,10.899587685786903,300.0,450.0,3.0,10.0,0.0399931451713598,125.29228689785349,40.963325213998175,73.33949510157328
9,webui,8,8,8,266.163974475,33.094651501170155,3537.5625025261543,74.7717960717979,76.17428571428574,1934.179042834832,11.114267216428816,300.0,450.0,4.0,10.0,0.0857142857142857,68.79085969541023,30.006148908298545,67.68643478365469
10,webui,9,8,9,285.182703175,30.783045083797788,2338.9018001755244,55.97895112241522,76.42085714285713,1582.9912885667873,11.885747161000328,300.0,450.0,5.0,10.0,0.0857528615160053,48.78357955393671,26.737154652001017,65.73195285326803
