Iteration,cpu usage [%],memory usage [%],Average response time [ms],Failures [%],CPU usage [%],Memory usage [%],Number of pods,CPU limit,Memory limit,Given CPU limit,Given memory limit
1,,,5.955228395683903,0.0,0.049215568466125,0.0,1,20.0,200.0,200,200
2,,,5.96577831617291,0.0,13.700824249625537,0.08820122080612651,2,20.000000000000007,400.0,200,200
3,,,5.939812481092613,0.0,2.655449931951276,0.034701314042705704,3,80.00000000000003,1000.0,200,200
4,,,5.998377611032517,0.0,2.6302608556717866,0.014344242656983268,4,84.61538461538463,815.3846153846154,200,200
5,,,6.019332519333574,0.0,3.3106394255141005,0.19071192828798333,5,100.0,200.0,200,200
6,,,6.020016256855754,0.0,8.17747787832441,0.23778479522212803,1,100.0,200.0,200,400
7,,,6.023811946677142,0.0,2.411416164436693,0.20952411968828202,2,100.0,200.0,200,400
8,,,6.007409663010873,0.0,2.691873363719508,0.08078518681408142,3,100.0,200.0,200,400
9,,,6.007414931438389,0.0,2.017002437454476,0.09572835498499319,4,100.0,242.85714285714286,200,400
10,,,6.011406456868392,0.0,3.7704363710996267,0.07629131576035901,5,100.0,400.0,200,400
11,,,5.644591611478476,0.0,2.5622885853235093,0.08221474895049477,1,100.0,400.0,200,600
12,,,6.050495757944021,0.0,3.329894304438515,0.06487197701882273,2,100.0,400.0,200,600
13,,,6.0742675681233855,0.0,12.00405076684137,0.05758941209848612,3,20.0,446.15384615384613,200,600
14,,,6.05358057576142,0.0,2.104187778106249,0.05431188734247983,4,100.0,400.0,200,600
15,,,6.046606704825304,0.0,2.144989272041644,0.05085385441183034,5,100.0,446.15384615384613,200,600
16,,,6.038185913188124,0.0,4.689131352752208,0.07274641754047355,1,100.0,600.0,200,800
17,,,6.005707297185623,0.0,4.339996140760015,0.06865298282842744,2,100.0,600.0,200,800
18,,,5.9776270500107245,0.0,2.2366303143054402,0.05123153947974565,3,100.0,600.0,200,800
19,,,5.989688637281182,0.0,1.9183755973620886,0.045223581971189974,4,100.0,600.0,200,800
20,,,5.981720320910111,0.0,1.9905930652091632,0.007827365338652591,5,100.0,642.8571428571429,200,800
21,,,5.986106885713094,0.0,3.539141764710587,0.02954267667590883,1,100.0,800.0,200,1000
22,,,6.69202121656644,0.0,3.1077226222098724,0.04288506505904516,2,100.0,800.0,200,1000
23,,,6.010985657613399,0.0,2.6677276128265652,0.04678273505679697,3,100.0,800.0,200,1000
24,,,6.055095573956408,0.0,43.68816598438783,0.05925185973612347,4,20.0,600.0,200,1000
25,,,6.05517453168169,0.0,2.2907891512702245,0.04468646565824689,5,100.0,800.0,200,1000
26,,,6.093018480493327,0.0,2.310553293918806,0.0076549729798807125,1,100.0,846.1538461538462,400,200
27,,,6.040622122177415,0.0,8.465769842428745,0.05809589332032558,2,100.0,1000.0,400,200
28,,,6.076116303214471,0.0,3.507553055037165,0.053589291956199075,3,100.0,1000.0,400,200
29,,,5.648914810212203,0.0,3.52546754832806,0.030559969479409897,4,100.0,1000.0,400,200
30,,,5.9259555733449325,0.0,2.376581202084126,0.03151991352762479,5,100.0,1000.0,400,200
31,,,5.8141523341526575,2.113022113022113,32.74955723747732,0.06747400238070797,1,20.0,600.0,400,400
32,,,5.710717397618432,0.0,20.741518885492955,0.06024553457156885,2,20.000000000000004,600.0,400,400
33,,,6.647846136544182,0.0,12.948214281923478,0.04836036995170264,3,20.000000000000007,600.0,400,400
34,,,5.834465111702644,0.0,11.608909439089594,0.03702003142337404,4,20.0,646.1538461538462,400,400
35,,,5.825854383357908,0.0,44.84558827303158,0.059621318413666635,5,20.0,800.0,400,400
36,,,5.788525553161238,0.9105149794399843,24.501310804171226,0.0444347783702902,1,20.0,800.0,400,600
37,,,6.622586764870934,0.0,14.706064393964827,0.04042328165175113,2,20.000000000000004,800.0,400,600
38,,,5.824525145161535,0.31492963291014664,46.58922744246098,0.1706645171659683,3,20.0,200.0,400,600
39,,,6.60400806090228,0.0,10.476255743944716,0.03214049846478827,4,20.000000000000007,800.0,400,600
40,,,5.71229050278982,0.0,11.245672704909458,0.03854761344741658,5,20.0,846.1538461538462,400,600
41,,,5.912629150365335,1.4344467850336042,53.85807411438468,0.03974616487042908,1,20.0,1000.0,400,800
42,,,5.7691856486473325,0.3617166878482745,25.45167160246239,0.038162338414058715,2,20.0,1000.0,400,800
43,,,5.892436639393706,0.09978048293753741,20.04940603866269,0.03917997952397964,3,20.000000000000004,1000.0,400,800
44,,,5.800984251967261,0.3346456692913386,13.729810282868812,0.021942775498910348,4,20.000000000000007,1000.0,400,800
45,,,5.802852926709016,0.3443187407771766,8.49006887451745,0.04091525506220834,5,24.615384615384613,815.3846153846154,400,800
