,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
0,2.38621825528455,0.3405419928518934,,,,200.0,200.0,
10,,,10.274611399040031,0.0,5.0,,,400.0
13,,,8.024509803897885,0.0,3.0,200.0,400.0,600.0
21,,,7.793650793698684,0.0,1.0,,,1000.0
26,,,7.203045685250823,0.0,1.0,800.0,1000.0,200.0
32,,,12.530172413825124,0.0,2.0,,,400.0
39,,,7.079601990062204,0.0,4.0,1000.0,200.0,600.0
43,,,8.265957446808976,0.0,3.0,,,800.0
52,,,7.057142857146183,0.0,2.0,1000.0,200.0,200.0
54,,,9.310344827511654,0.0,4.0,,,200.0
65,0.9934144666968452,0.24940072493969978,7.994285714251289,0.0,5.0,1000.0,200.0,600.0
76,,,35.87019230779403,0.0,1.0,,,200.0
78,,,7.156862745147259,0.0,3.0,1000.0,200.0,200.0
87,,,8.78974358985523,0.0,2.0,,,600.0
91,,,6.72500000007858,0.0,1.0,1000.0,200.0,800.0
98,,,8.153846153950676,0.0,3.0,,,1000.0
104,,,8.755102040818109,0.0,4.0,1000.0,400.0,200.0
109,,,9.577889447213073,0.0,4.0,,,400.0
117,,,6.601895734545569,0.0,2.0,1000.0,400.0,800.0
120,,,9.7547169810773,0.0,5.0,,,800.0
130,,,,,,1000.0,400.0,
131,,,,,,,,
142,,,,,,,,
143,,,,,,1000.0,400.0,
153,,,,,,,,
156,,,,,,200.0,600.0,
164,,,,,,,,
169,,,,,,1000.0,400.0,
175,,,,,,,,
182,,,,,,1000.0,600.0,
186,,,,,,,,
195,,,,,,1000.0,600.0,
197,,,,,,,,
208,1.15105823017209,0.09960405873884444,,,,1000.0,600.0,
219,,,,,,,,
221,,,,,,1000.0,600.0,
230,,,,,,,,
234,,,,,,1000.0,600.0,
241,,,,,,,,
247,,,,,,1000.0,800.0,
252,,,,,,,,
260,,,,,,1000.0,800.0,
263,,,,,,,,
273,,,,,,1000.0,800.0,
274,,,,,,,,
285,,,,,,,,
286,,,,,,1000.0,800.0,
296,,,,,,,,
299,,,,,,200.0,600.0,
307,,,,,,,,
312,,,,,,1000.0,800.0,
318,,,,,,,,
325,,,,,,1000.0,1000.0,
328,,,,,,,,
338,,,,,,1000.0,1000.0,
339,,,,,,,,
350,,,,,,,,
351,,,,,,1000.0,1000.0,
361,,,,,,,,
364,,,,,,1000.0,1000.0,
372,,,,,,,,
377,,,,,,1000.0,1000.0,
383,,,,,,,,
390,,,,,,200.00000000000003,600.0,
394,,,,,,,,
403,,,,,,200.0,600.0,
405,,,,,,,,
416,3.8350998232977753,0.08440197004531903,,,,200.0,600.0,
427,,,,,,,,
429,,,,,,200.0,800.0,
438,,,,,,,,
442,,,,,,200.0,800.0,
449,,,,,,,,
455,,,,,,200.00000000000003,800.0,
460,,,,,,,,
468,,,,,,200.0,800.0,
471,,,,,,,,
481,,,,,,200.0,200.0,
482,,,,,,,,
493,,,,,,,,
494,,,,,,200.0,800.0,
504,,,,,,,,
507,,,,,,200.0,1000.0,
515,,,,,,,,
520,,,,,,200.0,1000.0,
526,,,,,,,,
533,,,,,,200.00000000000003,1000.0,
537,,,,,,,,
546,,,,,,200.0,1000.0,
548,,,,,,,,
559,3.713282898053142,0.05537194469310584,,,,200.0,1000.0,
570,,,,,,,,
572,,,,,,400.0,200.0,
581,,,,,,,,
585,,,,,,400.0,200.0,
592,,,,,,,,
598,,,,,,400.00000000000006,200.0,
603,,,,,,,,
611,,,,,,400.0,200.0,
614,,,,,,,,
624,,,,,,200.00000000000003,200.0,
625,,,,,,,,
636,,,,,,,,
637,,,,,,400.0,200.0,
647,,,,,,,,
650,,,,,,400.0,400.0,
658,,,,,,,,
663,,,,,,400.0,400.0,
669,,,,,,,,
676,,,,,,400.00000000000006,400.0,
680,,,,,,,,
689,,,,,,400.0,400.0,
691,,,,,,,,
702,1.5435250926835895,0.11321352806857618,,,,400.0,400.0,
713,,,,,,,,
715,,,,,,400.0,600.0,
724,,,,,,,,
728,,,,,,400.0,600.0,
735,,,,,,,,
741,,,,,,400.00000000000006,600.0,
746,,,,,,,,
754,,,,,,400.0,600.0,
757,,,,,,,,
767,,,,,,200.0,200.0,
768,,,,,,,,
779,,,,,,,,
780,,,,,,400.0,600.0,
790,,,,,,,,
793,,,,,,400.0,800.0,
801,,,,,,,,
806,,,,,,400.0,800.0,
812,,,,,,,,
819,,,,,,400.00000000000006,800.0,
823,,,,,,,,
832,,,,,,400.0,800.0,
834,,,,,,,,
845,1.8657517482151413,0.023624913314930038,,,,400.0,800.0,
856,,,,,,,,
858,,,,,,400.0,1000.0,
867,,,,,,,,
871,,,,,,400.0,1000.0,
878,,,,,,,,
884,,,,,,400.00000000000006,1000.0,
889,,,,,,,,
897,,,,,,400.0,1000.0,
900,,,,,,,,
910,,,,,,200.0,200.0,
911,,,,,,,,
922,,,,,,,,
923,,,,,,400.0,1000.0,
933,,,,,,,,
936,,,,,,600.0,200.0,
944,,,,,,,,
949,,,,,,600.0,200.0,
955,,,,,,,,
962,,,,,,600.0,200.0,
966,,,,,,,,
975,,,,,,600.0,200.0,
977,,,,,,,,
988,1.265481139031374,0.16219043101138783,,,,600.0,200.0,
999,,,,,,,,
1001,,,,,,600.0,400.0,
1010,,,,,,,,
1014,,,,,,600.0,400.0,
1021,,,,,,,,
1027,,,,,,600.0,400.0,
1032,,,,,,,,
1040,,,,,,600.0,400.0,
1043,,,,,,,,
1053,,,,,,200.0,400.0,
1054,,,,,,,,
