,Iteration,pod,cpu throttled total,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,1,webui,694.0125319800001,59.899857428210645,55.60210526315789,100.0,500.0,1.0,3364.51588484918
1,2,webui,566.36579775,51.312763751192215,69.19526315789474,100.0,500.0,2.0,1134.1434084069508
2,3,webui,1120.375684627273,64.02119163583347,73.44263157894737,100.0,500.0,3.0,562.5394108565177
3,4,webui,1650.92740615,66.7634576701008,73.07157894736842,100.0,600.0,1.0,346.9625091189873
4,5,webui,541.5763307000001,53.30880661013807,55.197894736842095,100.0,600.0,2.0,993.6991759465479
5,6,webui,1049.237680618182,62.5115332151473,59.79921052631581,100.0,600.0,3.0,540.8971773747213
6,7,webui,1642.884862305882,66.00896871052944,61.27157894736838,100.0,700.0,1.0,343.6494686430159
7,8,webui,525.2929112833333,51.582967499515306,49.85578947368421,100.0,700.0,2.0,984.1784140504755
8,9,webui,1173.13724093,63.81027884975396,55.08000000000002,100.0,700.0,3.0,525.0527498553823
9,10,webui,1697.8293618599998,64.73981476450807,54.79508771929828,200.0,500.0,1.0,343.00645905945635
10,11,webui,555.3043911999999,41.575726493712715,68.74473684210527,200.0,500.0,2.0,462.6053348826479
11,12,webui,1269.988478433333,76.81724112750241,59.973684210526315,200.0,500.0,3.0,1763.9655542781074
12,13,webui,1103.11897257,55.076859309373816,73.67526315789475,200.0,600.0,1.0,267.3234504076856
13,14,webui,1599.98642784375,60.98352106224932,73.61350877192983,200.0,600.0,2.0,178.18131021172323
14,15,webui,529.87671096,40.073044067750246,57.21999999999999,200.0,600.0,3.0,446.131135314992
15,16,webui,1077.0025260500001,54.267297956369404,61.17868421052634,200.0,700.0,1.0,254.17081146031342
16,17,webui,1541.0070681933332,59.96266385233484,61.14140350877195,200.0,700.0,2.0,166.77335673257537
17,18,webui,649.9852448166666,45.067587780832994,48.98315789473684,200.0,700.0,3.0,451.7557692964189
18,19,webui,1175.5116174416667,57.573807289374884,53.81868421052634,300.0,500.0,1.0,251.01256238073248
19,20,webui,1621.6480449611115,60.3971005535732,53.29614035087719,300.0,500.0,2.0,159.29073231782422
20,21,webui,1956.0200451733333,80.42971715769448,63.51245614035089,300.0,500.0,3.0,985.085560790652
21,22,webui,780.8557553333334,62.58466502300463,46.89368421052632,300.0,600.0,1.0,2319.8871210223
22,23,webui,1378.5777788249998,78.63020748904438,55.53342105263158,300.0,600.0,2.0,1576.6893200874106
23,24,webui,1997.0020875833334,80.61311504877791,57.45877192982459,300.0,600.0,3.0,1055.2894722199037
24,25,webui,721.0157854333333,61.52104150288602,39.297368421052646,300.0,700.0,1.0,1495.8086553323028
25,26,webui,1368.764173641667,78.59949357875593,48.49815789473685,300.0,700.0,2.0,1410.1184149739952
26,27,webui,2047.4862357624997,77.36923863770194,49.75280701754385,300.0,700.0,3.0,1018.9021233722073
