,index,Iteration,pod,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,6,1,webui,131.16666666666666,281.41281635,13.5,40.0602538296834,51.58692307692308,200.0,600.0,1.0,5621.0727978645955
1,13,2,webui,256.6996699669967,814.0109553058824,65.5,59.371104617759684,52.63092307692307,200.0,600.0,2.0,1169.7172462240956
2,20,3,webui,272.8333333333333,330.664703875,65.5,40.493701886900475,39.04738461538464,200.0,600.0,3.0,541.8039215373676
3,27,4,webui,140.83333333333334,152.84944002499998,13.5,25.780260509476708,57.2023076923077,200.0,600.0,4.0,716.6196829554447
4,34,5,webui,174.15267175572518,265.88363105714285,26.5,43.27380080126931,64.42076923076921,200.0,600.0,5.0,615.2881499673139
5,41,6,webui,205.78787878787878,256.68924132499995,39.5,45.7116137236785,65.0653846153846,200.0,700.0,1.0,542.0840930604785
6,48,7,webui,235.93984962406014,247.59273379999996,52.5,39.13876034278916,63.1826923076923,200.0,700.0,2.0,518.3335331324826
7,55,8,webui,270.1377245508982,240.350923355,65.5,33.62448260870273,63.27538461538465,200.0,700.0,3.0,516.7442014429283
8,62,9,webui,138.74242424242425,142.316389925,13.5,27.118649358860466,51.01846153846153,200.0,700.0,4.0,713.7583453030738
9,69,10,webui,171.56451612903226,240.14655501249993,26.5,43.94747312368396,56.81346153846153,200.0,700.0,5.0,633.1303973862356
10,76,11,webui,206.4517766497462,274.7744417454545,39.5,46.00324670706412,55.298461538461524,200.0,800.0,1.0,578.0049225409518
11,83,12,webui,232.99606299212599,248.1033977875,52.5,39.63211362148137,54.89249999999997,200.0,800.0,2.0,533.1409720413302
12,90,13,webui,133.38983050847457,273.4353357333333,13.5,38.47635805078474,41.840769230769226,200.0,800.0,3.0,5051.648540783238
13,97,14,webui,271.20552147239266,231.94716823333334,65.5,33.16838284246197,54.55199999999998,200.0,800.0,4.0,523.8809888072212
14,104,15,webui,140.83333333333334,153.96465575,13.5,27.89579138603025,43.799230769230775,200.0,800.0,5.0,710.1996427762824
15,111,16,webui,173.83333333333334,233.51324935,26.5,44.32018184673239,49.37923076923077,200.0,900.0,1.0,622.7721625083373
16,118,17,webui,203.9222797927461,246.53765859090907,39.5,47.00454222545157,48.965384615384615,200.0,900.0,2.0,538.9554634444875
17,125,18,webui,239.65267175572518,249.62389017142854,52.5,40.08109977022726,48.815961538461515,200.0,900.0,3.0,520.370490342469
18,132,19,webui,268.53416149068323,252.52294619999995,65.5,33.3612879077835,48.2004615384615,200.0,900.0,4.0,523.3095377450029
19,139,20,webui,135.6060606060606,151.2570825,13.5,30.5505981803071,40.300769230769234,200.0,900.0,5.0,783.7733368672144
