,Iteration,pod,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
0,1,webui,281.8120111,71.44522154280958,18594.362885119717,7877.389617116945,97.43714285714285,9158.292178663232,6.142721443855786,300.0,400.0,1.0,25.0,-0.7542911422457687,13819.234829327044,125.33571930833742,170.93311664002127
1,2,webui,177.1043687,85.21120206845868,27077.82858705158,7877.389617116945,79.06071428571428,13485.097173019805,6.4853429368431454,300.0,400.0,2.0,25.0,-0.7405862825262741,13711.276309668654,148.31744943793365,137.61199477244332
2,3,webui,308.1047235666667,73.3451148697785,9570.990545786113,1597.1070905499307,87.61333333333334,9321.02417764109,21.144428812278367,300.0,400.0,3.0,25.0,-0.15422284750886533,1843.4174938311403,84.65660733586057,101.12531107974341
3,4,webui,337.9846772428572,68.50257657754061,10203.620264138113,589.5205134946008,89.06428571428569,6162.130409820192,25.12359802718768,300.0,400.0,4.0,25.0,0.004943921087507163,586.6059705964168,68.16390524465032,88.62395891399906
4,5,webui,391.10029096000005,47.74142144256329,3417.1644646068844,219.29083181300317,89.32199999999995,4734.352998716859,28.21569092107189,300.0,400.0,5.0,25.0,0.12862763684287556,191.08397033558808,41.60055522288659,77.83272222192062
5,6,webui,225.8725478,90.63011830421324,17135.897638625345,7877.389617116945,76.69714285714285,8438.95111367598,6.800000000000002,300.0,450.0,1.0,25.0,-0.728,13612.129258378081,156.6088444296805,132.53266285714284
6,7,webui,267.0510925,45.59851015491298,7848.723319898226,1053.8588422811674,75.29285714285716,7299.700689325559,19.185728638345044,300.0,450.0,2.0,25.0,-0.23257085446619827,1298.955693717257,56.20339462402671,92.80378126377285
7,8,webui,341.74610899999993,68.68932609401985,4201.747012524331,500.70233327672696,80.67238095238096,4380.200125793773,23.741119373676604,300.0,450.0,3.0,25.0,-0.050355225052935854,525.9153119534066,72.1481925682187,84.73465685079428
8,9,webui,362.9488720285714,55.74683627808793,5375.992868272916,288.3125248489153,81.13107142857142,3469.8748781431254,22.85807562069516,300.0,450.0,4.0,25.0,-0.08567697517219358,313.01426988222823,60.52305658581401,88.08213622105059
9,10,webui,407.06092651999995,46.028052637942416,1609.1934633676326,166.7017121913505,80.84714285714283,2698.450929675337,24.285361636071944,300.0,450.0,5.0,25.0,-0.028585534557122257,171.4669697459278,47.343789127221356,83.15820165313028
10,11,webui,192.6369817,91.64812920357882,23864.393939393936,7877.389617116945,68.09714285714287,7166.542549810823,7.271284300141415,300.0,500.0,1.0,25.0,-0.7091486279943433,13463.629656272313,156.64027428654504,116.38813828462054
11,12,webui,291.36024985,67.63839867887317,5637.278963574065,636.0410339695679,67.98142857142855,7635.82827179037,21.64199774073703,300.0,500.0,2.0,25.0,-0.13432009037051884,721.4741231317186,76.7235945019366,77.1127002006598
12,13,webui,352.2761908833333,56.111918455680765,9776.163482328893,475.22646760203764,70.78523809523807,4678.965625140709,21.80041666454353,300.0,500.0,3.0,25.0,-0.12798333341825882,536.0475350543305,63.2933088241323,79.84456882347176
13,14,webui,367.26023536250005,61.633318641261184,2897.3429645747565,205.93851691004517,71.98642857142856,3683.0207651774654,26.629774052380867,300.0,500.0,4.0,25.0,0.06519096209523469,192.51318686021358,57.61538330191521,67.29356403505724
14,15,webui,372.83060026249996,45.350320612921244,1633.2263331752029,148.98390088147107,72.0302857142857,2930.03352001616,26.958048121614315,300.0,500.0,5.0,25.0,0.0783219248645726,137.31519499060155,41.79839620929175,66.38873508859771
15,16,webui,187.6695997,70.60426155500762,22276.306731093966,7877.389617116945,59.36999999999999,6480.483655734927,8.199590066662568,300.0,550.0,1.0,25.0,-0.6720163973334974,13171.124608004173,118.0514830415958,99.26761350968972
16,17,webui,299.0192601,68.18970655443088,12143.722998099556,3249.2790103385314,66.135,6299.7391779251175,23.771407204142644,300.0,550.0,2.0,25.0,-0.04914371183429424,3408.960641691829,71.54080184340692,69.38511938216107
17,18,webui,365.84129216666673,67.68935410213656,5073.378697954814,368.36209486914726,68.11380952380952,3933.895726644186,28.19987170399341,300.0,550.0,3.0,25.0,0.12799486815973637,321.21363710132647,59.025464148015885,59.39559145395213
18,19,webui,343.40561686,62.08929732196619,4000.973198796003,206.97761280878157,70.84857142857145,2780.549586106055,22.499085947344177,300.0,550.0,4.0,25.0,-0.1000365621062329,227.68294162712706,68.30049716964743,77.93601894442361
