Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1609947314,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1609947315,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1609947316,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1609947317,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1609947318,1,,Aggregated,0.000000,0.000000,16,16,16,16,16,16,31,31,31,31,31,28,0,16,14.500000000615339,0,30.999999988125637,13.821428571428571
1609947319,2,,Aggregated,0.000000,0.000000,16,16,16,16,31,31,31,32,46,46,46,105,0,16,16.96190476206885,0,46.000000002095476,13.895238095238096
1609947320,3,,Aggregated,0.000000,0.000000,16,31,31,31,32,32,47,47,47,47,47,193,0,16,21.53886010366072,0,47.0000000204891,13.911917098445596
1609947321,4,,Aggregated,54.000000,0.000000,31,31,31,32,47,47,62,63,78,78,78,284,0,31,26.524647887309186,0,77.9999999795109,13.929577464788732
1609947322,5,,Aggregated,67.000000,0.000000,31,32,46,47,47,62,63,78,94,94,94,374,0,31,31.796791443908162,0,94.00000001187436,13.95187165775401
1609947323,6,,Aggregated,75.666667,0.000000,31,47,47,47,63,78,79,79,94,94,94,469,0,31,36.68443496798975,0,94.00000001187436,13.942430703624733
1609947324,7,,Aggregated,78.750000,0.000000,32,47,62,62,78,79,94,94,110,110,110,561,0,32,42.1158645274873,0,109.99999998603016,13.946524064171124
1609947325,8,,Aggregated,81.200000,0.000000,47,47,63,78,93,94,94,110,110,110,110,655,0,47,47.30534351138462,0,110.00000001513399,13.948091603053435
1609947326,9,,Aggregated,83.000000,0.000000,47,63,78,79,94,94,110,120,170,170,170,743,0,47,52.952893674152705,0,171.99999999138527,13.944818304172275
1609947327,10,,Aggregated,84.285714,0.000000,47,78,93,94,94,110,120,160,170,170,170,833,0,47,58.41176470575042,0,171.99999999138527,13.933973589435775
1609947328,10,,Aggregated,85.125000,0.000000,62,79,94,94,110,110,160,160,190,190,190,926,0,62,63.25809935194699,0,187.9999999946449,13.942764578833692
1609947329,10,,Aggregated,85.222222,0.000000,63,93,94,94,110,110,160,160,170,190,190,1020,0,63,66.9705882351777,0,187.9999999946449,13.957843137254901
1609947330,10,,Aggregated,86.000000,0.000000,78,94,94,110,110,120,160,160,170,190,190,1115,0,78,70.4421524662418,0,187.9999999946449,13.951569506726457
1609947331,10,,Aggregated,90.000000,0.000000,78,94,94,110,110,120,160,160,170,190,190,1209,0,78,73.09511993366361,0,187.9999999946449,13.953680727874277
