,CPU,Memory,Pods
1,200,200,1
2,200,200,2
3,200,200,3
4,200,200,4
5,200,200,5
6,200,400,1
7,200,400,2
8,200,400,3
9,200,400,4
10,200,400,5
11,200,600,1
12,200,600,2
13,200,600,3
14,200,600,4
15,200,600,5
16,200,800,1
17,200,800,2
18,200,800,3
19,200,800,4
20,200,800,5
21,200,1000,1
22,200,1000,2
23,200,1000,3
24,200,1000,4
25,200,1000,5
26,400,200,1
27,400,200,2
28,400,200,3
29,400,200,4
30,400,200,5
31,400,400,1
32,400,400,2
33,400,400,3
34,400,400,4
35,400,400,5
36,400,600,1
37,400,600,2
38,400,600,3
39,400,600,4
40,400,600,5
41,400,800,1
42,400,800,2
43,400,800,3
44,400,800,4
45,400,800,5
46,400,1000,1
47,400,1000,2
48,400,1000,3
49,400,1000,4
50,400,1000,5
51,600,200,1
52,600,200,2
53,600,200,3
54,600,200,4
55,600,200,5
56,600,400,1
57,600,400,2
58,600,400,3
59,600,400,4
60,600,400,5
61,600,600,1
62,600,600,2
63,600,600,3
64,600,600,4
65,600,600,5
66,600,800,1
67,600,800,2
68,600,800,3
69,600,800,4
70,600,800,5
71,600,1000,1
72,600,1000,2
73,600,1000,3
74,600,1000,4
75,600,1000,5
76,800,200,1
77,800,200,2
78,800,200,3
79,800,200,4
80,800,200,5
81,800,400,1
82,800,400,2
83,800,400,3
84,800,400,4
85,800,400,5
86,800,600,1
87,800,600,2
88,800,600,3
89,800,600,4
90,800,600,5
91,800,800,1
92,800,800,2
93,800,800,3
94,800,800,4
95,800,800,5
96,800,1000,1
97,800,1000,2
98,800,1000,3
99,800,1000,4
100,800,1000,5
101,1000,200,1
102,1000,200,2
103,1000,200,3
104,1000,200,4
105,1000,200,5
106,1000,400,1
107,1000,400,2
108,1000,400,3
109,1000,400,4
110,1000,400,5
111,1000,600,1
112,1000,600,2
113,1000,600,3
114,1000,600,4
115,1000,600,5
116,1000,800,1
117,1000,800,2
118,1000,800,3
119,1000,800,4
120,1000,800,5
121,1000,1000,1
122,1000,1000,2
123,1000,1000,3
124,1000,1000,4
125,1000,1000,5
