,CPU,Memory,Pods
1,300,400,1
2,300,400,2
3,300,400,3
4,300,400,4
5,300,400,5
6,300,500,1
7,300,500,2
8,300,500,3
9,300,500,4
10,300,500,5
11,300,600,1
12,300,600,2
13,300,600,3
14,300,600,4
15,300,600,5
16,300,700,1
17,300,700,2
18,300,700,3
19,300,700,4
20,300,700,5
21,300,800,1
22,300,800,2
23,300,800,3
24,300,800,4
25,300,800,5
26,400,400,1
27,400,400,2
28,400,400,3
29,400,400,4
30,400,400,5
31,400,500,1
32,400,500,2
33,400,500,3
34,400,500,4
35,400,500,5
36,400,600,1
37,400,600,2
38,400,600,3
39,400,600,4
40,400,600,5
41,400,700,1
42,400,700,2
43,400,700,3
44,400,700,4
45,400,700,5
46,400,800,1
47,400,800,2
48,400,800,3
49,400,800,4
50,400,800,5
51,500,400,1
52,500,400,2
53,500,400,3
54,500,400,4
55,500,400,5
56,500,500,1
57,500,500,2
58,500,500,3
59,500,500,4
60,500,500,5
61,500,600,1
62,500,600,2
63,500,600,3
64,500,600,4
65,500,600,5
66,500,700,1
67,500,700,2
68,500,700,3
69,500,700,4
70,500,700,5
71,500,800,1
72,500,800,2
73,500,800,3
74,500,800,4
75,500,800,5
76,600,400,1
77,600,400,2
78,600,400,3
79,600,400,4
80,600,400,5
81,600,500,1
82,600,500,2
83,600,500,3
84,600,500,4
85,600,500,5
86,600,600,1
87,600,600,2
88,600,600,3
89,600,600,4
90,600,600,5
91,600,700,1
92,600,700,2
93,600,700,3
94,600,700,4
95,600,700,5
96,600,800,1
97,600,800,2
98,600,800,3
99,600,800,4
100,600,800,5
101,700,400,1
102,700,400,2
103,700,400,3
104,700,400,4
105,700,400,5
106,700,500,1
107,700,500,2
108,700,500,3
109,700,500,4
110,700,500,5
111,700,600,1
112,700,600,2
113,700,600,3
114,700,600,4
115,700,600,5
116,700,700,1
117,700,700,2
118,700,700,3
119,700,700,4
120,700,700,5
121,700,800,1
122,700,800,2
123,700,800,3
124,700,800,4
125,700,800,5
