,CPU,Memory,Pods,RPS
1,300,400,1,10
2,300,400,2,10
3,300,400,3,10
4,300,400,4,10
5,300,400,5,10
6,300,450,1,10
7,300,450,2,10
8,300,450,3,10
9,300,450,4,10
10,300,450,5,10
11,300,500,1,10
12,300,500,2,10
13,300,500,3,10
14,300,500,4,10
15,300,500,5,10
16,300,550,1,10
17,300,550,2,10
18,300,550,3,10
19,300,550,4,10
20,300,550,5,10
21,300,600,1,10
22,300,600,2,10
23,300,600,3,10
24,300,600,4,10
25,300,600,5,10
26,350,400,1,10
27,350,400,2,10
28,350,400,3,10
29,350,400,4,10
30,350,400,5,10
31,350,450,1,10
32,350,450,2,10
33,350,450,3,10
34,350,450,4,10
35,350,450,5,10
36,350,500,1,10
37,350,500,2,10
38,350,500,3,10
39,350,500,4,10
40,350,500,5,10
41,350,550,1,10
42,350,550,2,10
43,350,550,3,10
44,350,550,4,10
45,350,550,5,10
46,350,600,1,10
47,350,600,2,10
48,350,600,3,10
49,350,600,4,10
50,350,600,5,10
51,400,400,1,10
52,400,400,2,10
53,400,400,3,10
54,400,400,4,10
55,400,400,5,10
56,400,450,1,10
57,400,450,2,10
58,400,450,3,10
59,400,450,4,10
60,400,450,5,10
61,400,500,1,10
62,400,500,2,10
63,400,500,3,10
64,400,500,4,10
65,400,500,5,10
66,400,550,1,10
67,400,550,2,10
68,400,550,3,10
69,400,550,4,10
70,400,550,5,10
71,400,600,1,10
72,400,600,2,10
73,400,600,3,10
74,400,600,4,10
75,400,600,5,10
76,450,400,1,10
77,450,400,2,10
78,450,400,3,10
79,450,400,4,10
80,450,400,5,10
81,450,450,1,10
82,450,450,2,10
83,450,450,3,10
84,450,450,4,10
85,450,450,5,10
86,450,500,1,10
87,450,500,2,10
88,450,500,3,10
89,450,500,4,10
90,450,500,5,10
91,450,550,1,10
92,450,550,2,10
93,450,550,3,10
94,450,550,4,10
95,450,550,5,10
96,450,600,1,10
97,450,600,2,10
98,450,600,3,10
99,450,600,4,10
100,450,600,5,10
101,500,400,1,10
102,500,400,2,10
103,500,400,3,10
104,500,400,4,10
105,500,400,5,10
106,500,450,1,10
107,500,450,2,10
108,500,450,3,10
109,500,450,4,10
110,500,450,5,10
111,500,500,1,10
112,500,500,2,10
113,500,500,3,10
114,500,500,4,10
115,500,500,5,10
116,500,550,1,10
117,500,550,2,10
118,500,550,3,10
119,500,550,4,10
120,500,550,5,10
121,500,600,1,10
122,500,600,2,10
123,500,600,3,10
124,500,600,4,10
125,500,600,5,10
