;CPU;Memory;Pods;RPS
1;300;400;1;50
2;300;400;2;50
3;300;400;3;50
4;300;400;4;50
5;300;400;5;50
6;300;450;1;50
7;300;450;2;50
8;300;450;3;50
9;300;450;4;50
10;300;450;5;50
11;300;500;1;50
12;300;500;2;50
13;300;500;3;50
14;300;500;4;50
15;300;500;5;50
16;300;550;1;50
17;300;550;2;50
18;300;550;3;50
19;300;550;4;50
20;300;550;5;50
21;300;600;1;50
22;300;600;2;50
23;300;600;3;50
24;300;600;4;50
25;300;600;5;50
26;350;400;1;50
27;350;400;2;50
28;350;400;3;50
29;350;400;4;50
30;350;400;5;50
31;350;450;1;50
32;350;450;2;50
33;350;450;3;50
34;350;450;4;50
35;350;450;5;50
36;350;500;1;50
37;350;500;2;50
38;350;500;3;50
39;350;500;4;50
40;350;500;5;50
41;350;550;1;50
42;350;550;2;50
43;350;550;3;50
44;350;550;4;50
45;350;550;5;50
46;350;600;1;50
47;350;600;2;50
48;350;600;3;50
49;350;600;4;50
50;350;600;5;50
51;400;400;1;50
52;400;400;2;50
53;400;400;3;50
54;400;400;4;50
55;400;400;5;50
56;400;450;1;50
57;400;450;2;50
58;400;450;3;50
59;400;450;4;50
60;400;450;5;50
61;400;500;1;50
62;400;500;2;50
63;400;500;3;50
64;400;500;4;50
65;400;500;5;50
66;400;550;1;50
67;400;550;2;50
68;400;550;3;50
69;400;550;4;50
70;400;550;5;50
71;400;600;1;50
72;400;600;2;50
73;400;600;3;50
74;400;600;4;50
75;400;600;5;50
76;450;400;1;50
77;450;400;2;50
78;450;400;3;50
79;450;400;4;50
80;450;400;5;50
81;450;450;1;50
82;450;450;2;50
83;450;450;3;50
84;450;450;4;50
85;450;450;5;50
86;450;500;1;50
87;450;500;2;50
88;450;500;3;50
89;450;500;4;50
90;450;500;5;50
91;450;550;1;50
92;450;550;2;50
93;450;550;3;50
94;450;550;4;50
95;450;550;5;50
96;450;600;1;50
97;450;600;2;50
98;450;600;3;50
99;450;600;4;50
100;450;600;5;50
101;500;400;1;50
102;500;400;2;50
103;500;400;3;50
104;500;400;4;50
105;500;400;5;50
106;500;450;1;50
107;500;450;2;50
108;500;450;3;50
109;500;450;4;50
110;500;450;5;50
111;500;500;1;50
112;500;500;2;50
113;500;500;3;50
114;500;500;4;50
115;500;500;5;50
116;500;550;1;50
117;500;550;2;50
118;500;550;3;50
119;500;550;4;50
120;500;550;5;50
121;500;600;1;50
122;500;600;2;50
123;500;600;3;50
124;500;600;4;50
125;500;600;5;50
