,CPU,Memory,Pods
1,200,200,1
2,200,200,2
3,200,200,3
4,200,200,4
5,200,200,5
6,200,250,1
7,200,250,2
8,200,250,3
9,200,250,4
10,200,250,5
11,200,300,1
12,200,300,2
13,200,300,3
14,200,300,4
15,200,300,5
16,200,350,1
17,200,350,2
18,200,350,3
19,200,350,4
20,200,350,5
21,200,400,1
22,200,400,2
23,200,400,3
24,200,400,4
25,200,400,5
26,250,200,1
27,250,200,2
28,250,200,3
29,250,200,4
30,250,200,5
31,250,250,1
32,250,250,2
33,250,250,3
34,250,250,4
35,250,250,5
36,250,300,1
37,250,300,2
38,250,300,3
39,250,300,4
40,250,300,5
41,250,350,1
42,250,350,2
43,250,350,3
44,250,350,4
45,250,350,5
46,250,400,1
47,250,400,2
48,250,400,3
49,250,400,4
50,250,400,5
51,300,200,1
52,300,200,2
53,300,200,3
54,300,200,4
55,300,200,5
56,300,250,1
57,300,250,2
58,300,250,3
59,300,250,4
60,300,250,5
61,300,300,1
62,300,300,2
63,300,300,3
64,300,300,4
65,300,300,5
66,300,350,1
67,300,350,2
68,300,350,3
69,300,350,4
70,300,350,5
71,300,400,1
72,300,400,2
73,300,400,3
74,300,400,4
75,300,400,5
76,350,200,1
77,350,200,2
78,350,200,3
79,350,200,4
80,350,200,5
81,350,250,1
82,350,250,2
83,350,250,3
84,350,250,4
85,350,250,5
86,350,300,1
87,350,300,2
88,350,300,3
89,350,300,4
90,350,300,5
91,350,350,1
92,350,350,2
93,350,350,3
94,350,350,4
95,350,350,5
96,350,400,1
97,350,400,2
98,350,400,3
99,350,400,4
100,350,400,5
101,400,200,1
102,400,200,2
103,400,200,3
104,400,200,4
105,400,200,5
106,400,250,1
107,400,250,2
108,400,250,3
109,400,250,4
110,400,250,5
111,400,300,1
112,400,300,2
113,400,300,3
114,400,300,4
115,400,300,5
116,400,350,1
117,400,350,2
118,400,350,3
119,400,350,4
120,400,350,5
121,400,400,1
122,400,400,2
123,400,400,3
124,400,400,4
125,400,400,5
