,CPU,Memory,Pods
1,200,800,1
2,200,800,2
3,200,800,3
4,200,800,4
5,200,800,5
6,200,850,1
7,200,850,2
8,200,850,3
9,200,850,4
10,200,850,5
11,200,900,1
12,200,900,2
13,200,900,3
14,200,900,4
15,200,900,5
16,200,950,1
17,200,950,2
18,200,950,3
19,200,950,4
20,200,950,5
21,200,1000,1
22,200,1000,2
23,200,1000,3
24,200,1000,4
25,200,1000,5
26,250,800,1
27,250,800,2
28,250,800,3
29,250,800,4
30,250,800,5
31,250,850,1
32,250,850,2
33,250,850,3
34,250,850,4
35,250,850,5
36,250,900,1
37,250,900,2
38,250,900,3
39,250,900,4
40,250,900,5
41,250,950,1
42,250,950,2
43,250,950,3
44,250,950,4
45,250,950,5
46,250,1000,1
47,250,1000,2
48,250,1000,3
49,250,1000,4
50,250,1000,5
51,300,800,1
52,300,800,2
53,300,800,3
54,300,800,4
55,300,800,5
56,300,850,1
57,300,850,2
58,300,850,3
59,300,850,4
60,300,850,5
61,300,900,1
62,300,900,2
63,300,900,3
64,300,900,4
65,300,900,5
66,300,950,1
67,300,950,2
68,300,950,3
69,300,950,4
70,300,950,5
71,300,1000,1
72,300,1000,2
73,300,1000,3
74,300,1000,4
75,300,1000,5
76,350,800,1
77,350,800,2
78,350,800,3
79,350,800,4
80,350,800,5
81,350,850,1
82,350,850,2
83,350,850,3
84,350,850,4
85,350,850,5
86,350,900,1
87,350,900,2
88,350,900,3
89,350,900,4
90,350,900,5
91,350,950,1
92,350,950,2
93,350,950,3
94,350,950,4
95,350,950,5
96,350,1000,1
97,350,1000,2
98,350,1000,3
99,350,1000,4
100,350,1000,5
101,400,800,1
102,400,800,2
103,400,800,3
104,400,800,4
105,400,800,5
106,400,850,1
107,400,850,2
108,400,850,3
109,400,850,4
110,400,850,5
111,400,900,1
112,400,900,2
113,400,900,3
114,400,900,4
115,400,900,5
116,400,950,1
117,400,950,2
118,400,950,3
119,400,950,4
120,400,950,5
121,400,1000,1
122,400,1000,2
123,400,1000,3
124,400,1000,4
125,400,1000,5
