,CPU,Memory,Pods
1,200,356,1
2,200,356,2
3,200,356,3
4,200,356,4
5,200,356,5
6,200,406,1
7,200,406,2
8,200,406,3
9,200,406,4
10,200,406,5
11,200,456,1
12,200,456,2
13,200,456,3
14,200,456,4
15,200,456,5
16,200,506,1
17,200,506,2
18,200,506,3
19,200,506,4
20,200,506,5
21,200,556,1
22,200,556,2
23,200,556,3
24,200,556,4
25,200,556,5
26,250,356,1
27,250,356,2
28,250,356,3
29,250,356,4
30,250,356,5
31,250,406,1
32,250,406,2
33,250,406,3
34,250,406,4
35,250,406,5
36,250,456,1
37,250,456,2
38,250,456,3
39,250,456,4
40,250,456,5
41,250,506,1
42,250,506,2
43,250,506,3
44,250,506,4
45,250,506,5
46,250,556,1
47,250,556,2
48,250,556,3
49,250,556,4
50,250,556,5
51,300,356,1
52,300,356,2
53,300,356,3
54,300,356,4
55,300,356,5
56,300,406,1
57,300,406,2
58,300,406,3
59,300,406,4
60,300,406,5
61,300,456,1
62,300,456,2
63,300,456,3
64,300,456,4
65,300,456,5
66,300,506,1
67,300,506,2
68,300,506,3
69,300,506,4
70,300,506,5
71,300,556,1
72,300,556,2
73,300,556,3
74,300,556,4
75,300,556,5
76,350,356,1
77,350,356,2
78,350,356,3
79,350,356,4
80,350,356,5
81,350,406,1
82,350,406,2
83,350,406,3
84,350,406,4
85,350,406,5
86,350,456,1
87,350,456,2
88,350,456,3
89,350,456,4
90,350,456,5
91,350,506,1
92,350,506,2
93,350,506,3
94,350,506,4
95,350,506,5
96,350,556,1
97,350,556,2
98,350,556,3
99,350,556,4
100,350,556,5
101,400,356,1
102,400,356,2
103,400,356,3
104,400,356,4
105,400,356,5
106,400,406,1
107,400,406,2
108,400,406,3
109,400,406,4
110,400,406,5
111,400,456,1
112,400,456,2
113,400,456,3
114,400,456,4
115,400,456,5
116,400,506,1
117,400,506,2
118,400,506,3
119,400,506,4
120,400,506,5
121,400,556,1
122,400,556,2
123,400,556,3
124,400,556,4
125,400,556,5
