,CPU,Memory,Pods
1,200,600,1
2,200,600,2
3,200,600,3
4,200,600,4
5,200,600,5
6,200,650,1
7,200,650,2
8,200,650,3
9,200,650,4
10,200,650,5
11,200,700,1
12,200,700,2
13,200,700,3
14,200,700,4
15,200,700,5
16,200,750,1
17,200,750,2
18,200,750,3
19,200,750,4
20,200,750,5
21,200,800,1
22,200,800,2
23,200,800,3
24,200,800,4
25,200,800,5
26,250,600,1
27,250,600,2
28,250,600,3
29,250,600,4
30,250,600,5
31,250,650,1
32,250,650,2
33,250,650,3
34,250,650,4
35,250,650,5
36,250,700,1
37,250,700,2
38,250,700,3
39,250,700,4
40,250,700,5
41,250,750,1
42,250,750,2
43,250,750,3
44,250,750,4
45,250,750,5
46,250,800,1
47,250,800,2
48,250,800,3
49,250,800,4
50,250,800,5
51,300,600,1
52,300,600,2
53,300,600,3
54,300,600,4
55,300,600,5
56,300,650,1
57,300,650,2
58,300,650,3
59,300,650,4
60,300,650,5
61,300,700,1
62,300,700,2
63,300,700,3
64,300,700,4
65,300,700,5
66,300,750,1
67,300,750,2
68,300,750,3
69,300,750,4
70,300,750,5
71,300,800,1
72,300,800,2
73,300,800,3
74,300,800,4
75,300,800,5
76,350,600,1
77,350,600,2
78,350,600,3
79,350,600,4
80,350,600,5
81,350,650,1
82,350,650,2
83,350,650,3
84,350,650,4
85,350,650,5
86,350,700,1
87,350,700,2
88,350,700,3
89,350,700,4
90,350,700,5
91,350,750,1
92,350,750,2
93,350,750,3
94,350,750,4
95,350,750,5
96,350,800,1
97,350,800,2
98,350,800,3
99,350,800,4
100,350,800,5
101,400,600,1
102,400,600,2
103,400,600,3
104,400,600,4
105,400,600,5
106,400,650,1
107,400,650,2
108,400,650,3
109,400,650,4
110,400,650,5
111,400,700,1
112,400,700,2
113,400,700,3
114,400,700,4
115,400,700,5
116,400,750,1
117,400,750,2
118,400,750,3
119,400,750,4
120,400,750,5
121,400,800,1
122,400,800,2
123,400,800,3
124,400,800,4
125,400,800,5
