,CPU,Memory,Pods
1,200,150,1
2,200,150,2
3,200,150,3
4,200,150,4
5,200,150,5
6,200,200,1
7,200,200,2
8,200,200,3
9,200,200,4
10,200,200,5
11,200,250,1
12,200,250,2
13,200,250,3
14,200,250,4
15,200,250,5
16,200,300,1
17,200,300,2
18,200,300,3
19,200,300,4
20,200,300,5
21,200,350,1
22,200,350,2
23,200,350,3
24,200,350,4
25,200,350,5
26,250,150,1
27,250,150,2
28,250,150,3
29,250,150,4
30,250,150,5
31,250,200,1
32,250,200,2
33,250,200,3
34,250,200,4
35,250,200,5
36,250,250,1
37,250,250,2
38,250,250,3
39,250,250,4
40,250,250,5
41,250,300,1
42,250,300,2
43,250,300,3
44,250,300,4
45,250,300,5
46,250,350,1
47,250,350,2
48,250,350,3
49,250,350,4
50,250,350,5
51,300,150,1
52,300,150,2
53,300,150,3
54,300,150,4
55,300,150,5
56,300,200,1
57,300,200,2
58,300,200,3
59,300,200,4
60,300,200,5
61,300,250,1
62,300,250,2
63,300,250,3
64,300,250,4
65,300,250,5
66,300,300,1
67,300,300,2
68,300,300,3
69,300,300,4
70,300,300,5
71,300,350,1
72,300,350,2
73,300,350,3
74,300,350,4
75,300,350,5
76,350,150,1
77,350,150,2
78,350,150,3
79,350,150,4
80,350,150,5
81,350,200,1
82,350,200,2
83,350,200,3
84,350,200,4
85,350,200,5
86,350,250,1
87,350,250,2
88,350,250,3
89,350,250,4
90,350,250,5
91,350,300,1
92,350,300,2
93,350,300,3
94,350,300,4
95,350,300,5
96,350,350,1
97,350,350,2
98,350,350,3
99,350,350,4
100,350,350,5
101,400,150,1
102,400,150,2
103,400,150,3
104,400,150,4
105,400,150,5
106,400,200,1
107,400,200,2
108,400,200,3
109,400,200,4
110,400,200,5
111,400,250,1
112,400,250,2
113,400,250,3
114,400,250,4
115,400,250,5
116,400,300,1
117,400,300,2
118,400,300,3
119,400,300,4
120,400,300,5
121,400,350,1
122,400,350,2
123,400,350,3
124,400,350,4
125,400,350,5
