Monat Microservices Kubernetes
2015-01-01 2 1
2015-02-01 3 2
2015-03-01 4 2
2015-04-01 4 3
2015-05-01 4 3
2015-06-01 5 3
2015-07-01 5 4
2015-08-01 5 4
2015-09-01 6 4
2015-10-01 6 5
2015-11-01 6 5
2015-12-01 6 4
2016-01-01 6 5
2016-02-01 7 6
2016-03-01 8 7
2016-04-01 9 8
2016-05-01 8 9
2016-06-01 9 10
2016-07-01 9 9
2016-08-01 9 11
2016-09-01 11 13
2016-10-01 11 13
2016-11-01 12 16
2016-12-01 10 15
2017-01-01 12 18
2017-02-01 14 20
2017-03-01 16 24
2017-04-01 15 24
2017-05-01 16 25
2017-06-01 16 28
2017-07-01 16 28
2017-08-01 16 30
2017-09-01 17 33
2017-10-01 17 37
2017-11-01 18 41
2017-12-01 16 39
2018-01-01 18 46
2018-02-01 20 51
2018-03-01 20 54
2018-04-01 20 55
2018-05-01 20 61
2018-06-01 21 62
2018-07-01 21 61
2018-08-01 21 67
2018-09-01 20 64
2018-10-01 22 70
2018-11-01 22 72
2018-12-01 19 69
2019-01-01 22 74
2019-02-01 24 80
2019-03-01 24 80
2019-04-01 24 83
2019-05-01 24 84
2019-06-01 24 85
2019-07-01 25 91
2019-08-01 25 89
2019-09-01 25 95
2019-10-01 25 92
2019-11-01 25 92
2019-12-01 22 82
2020-01-01 24 92
2020-02-01 25 96
2020-03-01 21 84
2020-04-01 20 93
2020-05-01 20 91
2020-06-01 21 98
2020-07-01 22 100
2020-08-01 21 92
2020-09-01 21 94
2020-10-01 19 70
